countryName,exchg,purpose,date1,holdID,intervalIdent,marketCap1,marketCap20,marketCapRange,propertyName,Rank,reportDate,reportingComp,significantInterval,stage,surfaceUnder,date20,within21,gainPercent,change
Sudan,ORG-TVX,Metallurgical,0.3581,MET006DD,720049,38.46,30.44,>10 - 100,Block 14,665,11/1/2016,Orca Gold Inc.,Yes,Prefeas/Scoping,Surface,0.2687,FALSE,-24,decrease
Canada,SOI-TVX,Extension,0.6855,CH-16-25 ext.,705292,71.05,45.8,>10 - 100,Cheechoo,727,10/4/2016,Sirios Resources Inc.,Yes,Target Outline,Surface,0.4418,FALSE,-35,decrease
Burkina Faso,SWA-TVX,Infill,0.1867,DDH079#,722127,20.81,13.21,>10 - 100,South Hounde,730,11/3/2016,Sarama Resources Limited,No,Reserves Development,Surface,0.1185,FALSE,-36,decrease
Australia,TYX-ASX,Extension,0.0305,GWRC016,715616,11.77,10.12,>10 - 100,Jumbuck,583,10/18/2016,Tyranna Resources Limited,No,Target Outline,Surface,0.0254,FALSE,-16,decrease
Canada,SOI-TVX,Extension,0.3727,CH-16-81,735905,38.72,23.26,>10 - 100,Cheechoo,739,11/29/2016,Sirios Resources Inc.,Yes,Target Outline,Surface,0.224,FALSE,-39,decrease
Australia,NTM-ASX,Infill,0.0675,GTRC394,719151,15.27,12.68,>10 - 100,Redcliffe,588,10/27/2016,NTM Gold Limited,No,Feasibility Started,Surface,0.056,FALSE,-16,decrease
Dominican Republic,GQC-TVX,Extension,0.318,TIR-16-03,719819,68.6,42.28,>10 - 100,Tireo,736,10/31/2016,GoldQuest Mining Corporation,No,Prefeas/Scoping,Surface,0.196,FALSE,-38,decrease
Canada,ATC-TVX,Extension,0.44,AN-16-013,723480,54.04,31.36,>10 - 100,Rackla,743,11/7/2016,ATAC Resources Ltd.,No,Prefeas/Scoping,Surface,0.2553,FALSE,-41,decrease
USA,CGM-TVX,Extension,0.5784,DD-16-052,704581,17.96,11.64,>10 - 100,Fremont,726,10/3/2016,"California Gold Mining, Inc.",Yes,Reserves Development,Surface,0.375,FALSE,-35,decrease
Australia,MBK-ASX,Extension,0.023,TDH072,734226,16.41,13.49,>10 - 100,Triumph,600,11/28/2016,Metal Bank Limited,No,Target Outline,Surface,0.0189,FALSE,-17,decrease
Canada,PG-TSX,Infill,1.5603,HMP141,751236,314.11,442.16,>100,Hasaga,15,12/20/2016,Premier Gold Mines Limited,No,Target Outline,Surface,2.1946,FALSE,40,increase
Canada,GSR-TVX,Extension,0.1423,PSGS-16-05,718196,23.32,16.03,>10 - 100,Plateau,719,10/25/2016,Goldstrike Resources Ltd.,Yes,Target Outline,Surface,0.0958,FALSE,-32,decrease
Burkina Faso,ACA-LON,Exploration,5.0213,AM_DT1_11-30-2016,736486,2059.15,1763.81,>100,Central Hounde,547,11/30/2016,Acacia Mining plc,Yes,Exploration,Surface,4.3011,FALSE,-14,decrease
Australia,SMD-ASX,Extension,0.0142,MRC004,743369,8.98,7.32,<10,Monument,611,12/9/2016,Syndicated Metals Limited,No,Target Outline,Surface,0.0115,FALSE,-18,decrease
USA,CGT-TSX,Extension,0.5226,ES-126,717040,74.69,67.05,>10 - 100,Eastside,477,10/20/2016,Columbus Gold Corporation,Yes,Target Outline,Surface,0.4688,FALSE,-10,decrease
Australia,LSR-ASX,Infill,0.0081,LNR804,737955,3.68,2.96,<10,Peak Hill-Doolgunna,621,12/1/2016,Lodestar Minerals Limited,No,Target Outline,Surface,0.0065,FALSE,-19,decrease
Serbia,MUN-TVX,Extension,0.1419,ZELDD09,722354,7.4,6.18,<10,Timok,578,11/4/2016,Mundoro Capital Inc.,Yes,Exploration,Surface,0.1186,FALSE,-16,decrease
Canada,AUG-TSX,Extension,1.6753,16ARR022,734164,111.67,134.22,>100,Committee Bay,62,11/25/2016,Auryn Resources Inc.,No,Reserves Development,Surface,2.0118,FALSE,20,increase
Canada,FPC-TVX,Extension,0.823,H5-16-07D,719801,94.02,76.04,>10 - 100,Horne 5,617,10/31/2016,Falco Resources Ltd.,Yes,Feasibility Started,Surface,0.6656,FALSE,-19,decrease
Canada,DEC-TVX,Exploration,0.0418,2016-BOW-5,716230,3.51,3.44,<10,Bow,317,10/18/2016,Decade Resources Ltd.,Yes,Target Outline,Surface,0.041,FALSE,-1,decrease
Australia,GMD-ASX,Exploration,0.0157,16VKAC044,745631,11.61,12.27,>10 - 100,Viking,171,12/13/2016,Genesis Minerals Limited,Yes,Target Outline,Surface,0.0166,FALSE,5,increase
Canada,CXO-TVX,Extension,0.1634,INDDH16-049,705695,12.53,13.78,>10 - 100,KSP,126,10/5/2016,Colorado Resources Ltd.,Yes,Target Outline,Surface,0.1797,FALSE,10,increase
Australia,TNR-ASX,Extension,0.1434,SWC114,711512,13.9,12.73,>10 - 100,Mt Stirling,454,10/14/2016,Torian Resources Limited,Yes,Prefeas/Scoping,Surface,0.1305,FALSE,-8,decrease
Turkey,ZNC-ASX,Extension,0.0804,KT-09,705572,13.89,15.84,>10 - 100,Kavaklitepe,89,10/5/2016,Zenith Minerals Limited,Yes,Target Outline,Surface,0.0916,FALSE,14,increase
