Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Mt Celia,898251,28961,Australia,Gold,5/9/2017,Legacy Iron Ore Limited,4332361,Gold,BPC116,Reserves Development,Yes,Surface,Extension,"4,738.77",LCY-ASX,0.003,0.003,<10,4.34,4.37,0.80%,305,,,
Bougouni,921447,78022,Mali,Lithium,6/20/2017,Kodal Minerals Plc,4533605,Lithium,KLRC043,Target Outline,Yes,Surface,Extension,"5,488.00",KOD-AIMLSE,0.003,0.004,>10 - 100,20.95,23.33,11.40%,124,,,
KSK,879140,38884,Indonesia,Copper,4/12/2017,Asiamet Resources Limited,4228843,Copper,BKM32200-04,Feasibility Started,Yes,Surface,Extension,"3,770.36",ARS-AIMLSE,0.057,0.064,>10 - 100,40.78,45.4,11.30%,125,,,
Owendale,918170,29478,Australia,Scandium,6/19/2017,Platina Resources Limited,4353375,Scandium,FKD17_569,Feasibility Started,Yes,Surface,Extension,"79,576.10",PGM-ASX,0.075,0.084,>10 - 100,19.93,22.09,10.80%,129,,,
Aguas Calientes,923674,64949,Nicaragua,Copper,6/21/2017,Royal Road Minerals Limited,4366922,Copper,PICH_004,Exploration,Yes,Surface,Exploration,"1,424.30",RYR-TVX,0.049,0.054,>10 - 100,13.17,14.58,10.70%,130,,,
Fraser Range,912144,67493,Australia,Nickel,6/6/2017,Legend Mining Limited,4351790,Nickel,RKAC119,Target Outline,No,Surface,Extension,439.177,LEG-ASX,0.008,0.009,>10 - 100,16.83,18.61,10.60%,133,,,
Livingstone,878590,33978,Australia,Gold,4/12/2017,Kingston Resources Limited,4418930,Gold,KLRC005,Reserves Development,Yes,Surface,Extension,"3,728.82",KSN-ASX,0.015,0.015,<10,9.96,10.01,0.50%,310,,,
Wawa,938336,25803,Canada,Gold,6/29/2017,Red Pine Exploration Inc.,4353694,Gold,HS-15-31,Reserves Development,Yes,Surface,Extension,"1,916.80",RPX-TVX,0.065,0.071,>10 - 100,17.19,18.88,9.80%,137,,,
Madison,898887,25381,USA,Gold,5/10/2017,Broadway Gold Mining Ltd.,4526468,Gold,UG17-06,Target Outline,Yes,Underground,Exploration,"64,244.77",BRD-TVX,0.474,0.52,>10 - 100,16.17,19.21,9.60%,141,,,
Tijirit,917838,29012,Mauritania,Gold,6/15/2017,Algold Resources Limited,4361599,Gold,T17DD011,Reserves Development,Yes,Surface,Extension,"2,051.21",ALG-TVX,0.151,0.165,>10 - 100,25.32,27.65,9.20%,145,,,
Hollandaire,930241,39600,Australia,Copper,6/26/2017,Musgrave Minerals Limited,4352640,Zinc,17EPRC004,Prefeas/Scoping,Yes,Surface,Extension,"2,062.98",MGV-ASX,0.055,0.06,>10 - 100,12.16,13.23,8.80%,146,,,
Krasny,905936,40643,Russia,Gold,5/23/2017,Kopy Goldfields AB,4351667,Gold,141713,Prefeas/Scoping,No,Surface,Extension,"1,252.82",KOPY-OME,0.137,0.149,>10 - 100,10.92,11.87,8.70%,148,,,
Zgounder,922070,31243,Morocco,Silver,6/21/2017,Maya Gold and Silver Inc.,4352128,Silver,2100-T28-17-01,Operating,No,Underground,Extension,332.378,MYA-TVX,0.132,0.143,>10 - 100,27.79,30.2,8.60%,150,,,
Borosi,911809,36803,Nicaragua,Gold,6/2/2017,Calibre Mining Corporation,4348838,Gold,BL17-052,Reserves Development,No,Surface,Extension,711.984,CXB-TVX,0.115,0.125,>10 - 100,35.94,39,8.50%,152,,,
Gabanintha,916017,52707,Australia,Vanadium,6/13/2017,Australian Vanadium Limited,4355520,Titanium,GRC0212,Prefeas/Scoping,Yes,Surface,Extension,"15,552.71",AVL-ASX,0.011,0.012,>10 - 100,13.73,14.88,8.30%,157,,,
Dandoko,875980,50800,Mali,Gold,4/6/2017,Oklo Resources Limited,4353029,Gold,ACSEK17-030,Target Outline,Yes,Surface,Extension,"3,130.11",OKU-ASX,0.193,0.209,>10 - 100,46.64,50.5,8.30%,160,,,
Murchison,912173,26727,Australia,Gold,6/6/2017,Musgrave Minerals Limited,4352640,Gold,17MORC079,Reserves Development,Yes,Surface,Extension,"5,335.34",MGV-ASX,0.055,0.055,>10 - 100,12.18,12.19,0.00%,327,,,
Eloise Exploration Area,918015,40945,Australia,Copper,6/16/2017,Minotaur Exploration Limited,4352495,Copper,EL17D01,Reserves Development,No,Surface,Extension,41.903,MEP-ASX,0.057,0.061,>10 - 100,12.08,13.04,7.90%,163,,,
Bowdens,899057,29244,Australia,Silver,5/12/2017,Silver Mines Limited,4354254,Zinc,BD17004,Feasibility Started,Yes,Surface,Infill,"14,930.35",SVL-ASX,0.096,0.103,>10 - 100,37.45,40.41,7.90%,165,,,
Omahola,924011,34731,Namibia,U3O8,6/22/2017,Deep Yellow Limited,4349674,U3O8,TB3R172,Prefeas/Scoping,No,Surface,Extension,923.546,DYL-ASX,0.196,0.211,>10 - 100,37.31,40.17,7.50%,171,,,
Douay West,898332,26062,Canada,Gold,5/8/2017,Aurvista Gold Corporation,4348321,Gold,DO-17-169,Advanced Exploration,No,Surface,Extension,468.378,AVA-TVX,0.197,0.212,>10 - 100,27.32,30.25,7.40%,173,,,
Golden Summit,916402,24433,USA,Gold,6/13/2017,Freegold Ventures Limited,4350276,Gold,GSDL 17-11,Prefeas/Scoping,No,Surface,Extension,"1,304.24",FVL-TSX,0.1,0.108,>10 - 100,14.57,15.64,7.30%,174,,,
Walford Creek,919555,28375,Australia,Copper,6/20/2017,Aeon Metals Limited,4347805,Cobalt,WFDD230,Prefeas/Scoping,Yes,Surface,Extension,"4,058.34",AML-ASX,0.106,0.114,>10 - 100,37.01,39.63,7.10%,175,,,
Douay West,873825,26062,Canada,Gold,4/3/2017,Aurvista Gold Corporation,4348321,Gold,17-169,Prefeas/Scoping,No,Surface,Extension,"1,153.16",AVA-TVX,0.221,0.237,>10 - 100,30.64,32.8,7.00%,176,,,
Filo del Sol,902338,31067,Argentina,Copper,5/17/2017,Filo Mining Corporation,4789805,Copper,VRC125,Prefeas/Scoping,No,Surface,Infill,"9,394.08",FIL-TVX,1.389,1.485,>10 - 100,85.74,91.69,6.90%,179,,,
