Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Christie Lake,851490,76929,Canada,U3O8,CB-110A,3/6/2017,U3O8,UEX Corporation,4355053,Target Outline,Yes,Surface,Extension,UEX-TSX,0.26,0.22,>10 - 100,83.35,71.62,-14.07%,FALSE,628,,,
Zulu,843883,41737,Zimbabwe,Lithium,ZDD-3,2/20/2017,Lithium,Premier African Minerals Limited,4350306,Target Outline,Yes,Surface,Extension,PREM-AIMLSE,0.01,0.01,>10 - 100,38.22,32.96,-14.08%,FALSE,629,,,
Kaapelinkulma,864321,35882,Finland,Gold,VK/KKU-RC69,3/27/2017,Gold,Dragon Mining Limited,4349799,Prefeas/Scoping,Yes,In Pit,Extension,DRA-ASX,0.22,0.19,>10 - 100,19.63,16.85,-14.19%,FALSE,631,,,
Electra,803155,78152,Mexico,Lithium,Trench #1,1/24/2017,Potash,Lithium Australia NL,4352280,Target Outline,Yes,Surface,Exploration,LIT-ASX,0.15,0.13,>10 - 100,41.11,35.63,-14.32%,FALSE,632,,,
San Jose,867431,77559,Spain,Lithium,SJ-4C,3/29/2017,Lithium,Plymouth Minerals Limited,4353394,Reserves Development,Yes,Surface,Exploration,PLH-ASX,0.2,0.17,>10 - 100,27.36,23.38,-14.55%,FALSE,634,,,
Bougouni,861350,77208,Mali,Lithium,GMRC107,3/22/2017,Lithium,Birimian Limited,4348586,Prefeas/Scoping,Yes,Surface,Extension,BGS-ASX,0.23,0.19,>10 - 100,44.15,37.76,-14.59%,FALSE,635,,,
Skellefte,861125,75508,Sweden,Copper,SBJK170003,3/22/2017,Zinc,S2 Resources Limited,4634545,Target Outline,Yes,Surface,Exploration,S2R-ASX,0.19,0.16,>10 - 100,47.46,40.48,-14.72%,FALSE,637,,,
Aurora Tank,807295,60023,Australia,Gold,16AT126,2/1/2017,Gold,Marmota Limited,4352084,Target Outline,Yes,Surface,Extension,MEU-ASX,0.02,0.02,<10,8.24,8.72,-7.47%,FALSE,504,,,
Orenada,807724,25882,Canada,Gold,OAX-17-084,2/1/2017,Gold,Alexandria Minerals Corporation,4347896,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.05,0.05,>10 - 100,23.41,19.86,-15.16%,FALSE,643,,,
Loharano,850214,66638,Madagascar,Graphite,ANTS_008,3/2/2017,Graphite,Bass Metals Limited,4348478,Preproduction,No,Surface,Exploration,BSM-ASX,0.01,0.01,>10 - 100,13.62,11.54,-15.23%,FALSE,644,,,
Mt Morgans,811575,25662,Australia,Gold,16CWAC0155,2/7/2017,Gold,Dacian Gold Limited,4379662,Construction Started,No,Surface,Extension,DCN-ASX,1.71,1.58,>100,256.92,303.14,-7.61%,FALSE,506,,,
Mineral Ridge,810696,26150,USA,Gold,MR162107,2/3/2017,Gold,Scorpio Gold Corporation,4354064,Operating,Yes,In Pit,Extension,SGN-TVX,0.1,0.08,>10 - 100,12.47,10.49,-15.89%,FALSE,647,,,
Gabanintha,860145,52707,Australia,Vanadium,GRC102,3/16/2017,Cobalt,Australian Vanadium Limited,4355520,Prefeas/Scoping,No,Surface,Exploration,AVL-ASX,0.01,0.01,>10 - 100,17.42,14.75,-15.92%,FALSE,648,,,
Mexican Hat,807851,27183,USA,Gold,GMV 2016-14,2/1/2017,Gold,GMV Minerals Inc.,4360051,Reserves Development,No,Surface,Extension,GMV-TVX,0.45,0.38,>10 - 100,14.66,12.3,-16.12%,FALSE,649,,,
Goldstrike,812467,25278,USA,Gold,PGS179,2/8/2017,Gold,Pilot Gold Inc.,4303923,Target Outline,Yes,Surface,Extension,LGD-TSX,0.48,0.4,>10 - 100,71.81,60.17,-16.20%,FALSE,650,,,
Moore Lake,848438,34750,Canada,U3O8,ML-199,2/27/2017,U3O8,Skyharbour Resources Ltd.,4354326,Target Outline,Yes,Surface,Exploration,SYH-TVX,0.47,0.4,>10 - 100,22.55,18.89,-16.22%,FALSE,651,,,
Forrest,854497,76808,Australia,Copper,WRAC109,3/9/2017,Copper,RNI NL,4353757,Target Outline,Yes,Surface,Extension,AUR-ASX,0.06,0.05,>10 - 100,20.05,16.77,-16.38%,FALSE,652,,,
