propertyName,intervalIdent,countryName,holeID,reportDate,reportingComp,stage,significantInterval,surfaceUnder,purpose,exchg,date1,date20,marketCapRange,marketCap1,marketCap20,within21,Rank,gainPercent,change
McCoy/Cove,727041,USA,PG16-12,11/10/2016,Premier Gold Mines Limited,Reserves Development,Yes,Underground,Extension,PG-TSX,2.106,1.7016,>100,422.37,342.55,FALSE,618,-19,decrease
Gold Springs,718449,USA,J-16-006,10/26/2016,TriMetals Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.1947,0.1781,>10 - 100,52.07,47.31,FALSE,446,-8,decrease
Gold Springs,748087,USA,J-16-010,12/16/2016,TriMetals Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.1683,0.1741,>10 - 100,45.49,48.4,FALSE,206,3,increase
Wawa,735686,Canada,TR-16-2A,11/29/2016,Red Pine Exploration Inc.,Reserves Development,No,Surface,Extension,RPX-TVX,0.0708,0.0971,<10,7.47,10.52,FALSE,20,37,increase
Fenelon,728889,Canada,1050-005,11/16/2016,Wallbridge Mining Company Limited,Prefeas/Scoping,No,Surface,Exploration,WM-TSX,0.0334,0.0452,<10,7.41,10.01,FALSE,23,35,increase
Quito,733352,USA,Q16-01,11/23/2016,Bravada Gold Corporation,Reserves Development,No,Surface,Extension,BVA-TVX,0.1416,0.1829,<10,4.88,6.33,FALSE,33,29,increase
Los Domos,727733,Chile,LD00013,10/25/2016,Equus Mining Limited,Exploration,No,Surface,Extension,EQE-ASX,0.0091,0.0113,<10,3.97,6.04,FALSE,50,23,increase
Osu,745374,South Korea,PG038 - 042,12/12/2016,Peninsula Mines Limited,Target Outline,No,Surface,Extension,PSM-ASX,0.0119,0.0145,<10,6.13,7.45,FALSE,55,21,increase
Opawica,708104,Canada,R02-001,10/11/2016,Stellar AfricaGold Inc.,Exploration,No,Surface,Exploration,SPX-TVX,0.0189,0.0224,<10,0.74,0.88,FALSE,70,18,increase
Elephant Mountain,719867,USA,EL16-14A,10/31/2016,Endurance Gold Corporation,Target Outline,No,Surface,Exploration,EDG-TVX,0.0374,0.0444,<10,3.77,4.47,FALSE,73,18,increase
Haile,745064,USA,DDH-578,12/12/2016,OceanaGold Corporation,Commissioning,Yes,Surface,Infill,OGC-TSX,2.7877,2.9149,>100,1703.35,1781.05,FALSE,191,4,increase
Fire Creek,734947,USA,FCU-0649,11/10/2016,Klondex Mines Ltd.,Operating,Yes,Underground,Extension,KDX-TSX,5.2091,4.8298,>100,777.82,721.22,FALSE,425,-7,decrease
Relief Canyon,725809,USA,RC16-486,11/9/2016,Pershing Gold Corporation,Prefeas/Scoping,Yes,In Pit,Extension,PGLC-US,4.35,3.75,>100,114,98.27,FALSE,534,-13,decrease
Treaty Creek,768963,Canada,E-16-05,12/28/2016,American Creek Resources Ltd.,Target Outline,No,Surface,Extension,AMK-TVX,0.037,0.0421,<10,8.18,9.65,FALSE,94,13,increase
Baxter,731420,USA,BAX16-18,11/21/2016,Bravada Gold Corporation,Target Outline,No,Surface,Extension,BVA-TVX,0.1627,0.1823,<10,5.61,6.31,FALSE,108,12,increase
Relief Canyon,730136,USA,RC16-487,11/17/2016,Pershing Gold Corporation,Prefeas/Scoping,Yes,In Pit,Extension,PGLC-US,4.02,3.58,>100,105.35,101.72,FALSE,491,-10,decrease
Cerro Oro,733635,Colombia,CO-001,11/24/2016,Miranda Gold Corporation,Target Outline,No,Surface,Extension,MAD-TVX,0.0518,0.0573,<10,5.36,5.92,FALSE,123,10,increase
"Vivien, Mt Magnet, Tanami","748728, 748711, 749027",Australia,"VVDD1031, GXRC0502, HRAC0090",12/19/2016,Ramelius Resources Limited,"Operating, Operating, Target Outline","Yes, Yes, No","Underground, In Pit, Surface","Definition, Extension, Exploration",RMS-ASX,0.3386,0.4538,>100,177.84,238.38,FALSE,25,34,increase
North Bullfrog,735692,USA,NB-16-314,11/29/2016,Corvus Gold Inc.,Prefeas/Scoping,Yes,Surface,Extension,KOR-TSX,0.4547,0.3733,>10 - 100,41.99,34.48,FALSE,601,-17,decrease
Goldstrike,705843,USA,PGS104,10/6/2016,Pilot Gold Inc.,Target Outline,Yes,In Pit,Extension,LGD-TSX,0.5002,0.4798,>10 - 100,62.98,60.41,FALSE,366,-4,decrease
Big Springs,721133,USA,AWVBC16-002,11/3/2016,Anova Metals Limited,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.1112,0.1071,>10 - 100,49.56,48.05,FALSE,358,-3,decrease
Big Springs,736016,USA,AWVBC16-006,11/30/2016,Anova Metals Limited,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.112,0.0797,>10 - 100,50.25,36,FALSE,698,-28,decrease
Big Springs,742841,USA,AWV16-061,12/7/2016,Anova Metals Limited,Prefeas/Scoping,Yes,Surface,Extension,AWV-ASX,0.1007,0.0689,>10 - 100,45.49,31.13,FALSE,711,-31,decrease
